"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burundi","BDI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.195","3.252","3.381","3.347","3.391","3.399","3.307","3.212","3.29","3.285","3.239","3.202","3.281","3.19","3.244","3.18","2.424","1.63","1.625","1.604","1.602","1.589","1.575","1.57","1.517","1.383","1.263","1.143","1.027","1.03","1.138","0.906","0.86",
"Belgium","BEL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.98","6.7","8.08","9.65","9.34","9.48","8.95","9.32","8.65","6.59","6.18","6.91","7.68","7.36","8.44","8.25","7.46","6.98","7.91","8.29","7.14","7.54","8.43","8.52","8.48","7.83","7.09","5.95","5.36","5.55","6.26","5.56","5.541",
"Benin","BEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.691","1.51","1.517","1.495","1.32","1.273","1.1","1.06","0.955","0.868","0.763","0.69","0.752","0.796","0.877","0.898","0.9","0.872","0.93","1.04","2.65","2.392","2.044","1.808","1.811","1.843","1.749","1.47","1.372","1.616","1.784","1.476","1.411",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.431","2.481","2.38","2.58","2.53","2.428","2.394","2.44","2.565","2.721","2.78","2.91","2.78","3.508","4","3.676","3.3","3.525","3.779","3.741","3.836","3.825","4.054","4.28","4.526","4.651","4.691","4.69","4.708","5.148","5.36","5.065","5.001",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.26","2.323","2.385","2.448","2.51","2.7","2.89","3.081","3.27","3.617","3.968","4.32","4.288","4.25","3.59","4.055","4.525","5","3.38","3.73","4.079","4.43","4.405","4.379","4.35","4.37","4.373","4.376","5.316","5.246","4.271","4.186",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1","15.3","16.4","12.8","11.1","12.5","13.7","12.2","14.1","16.22","19.92","18.11","13.73","12.04","10.08","8.95","6.88","5.61","6.82","10.28","11.26","12.27","12.94","11.42","9.14","7.57","6.16","5.21","4.23","5.12","5.27","4.27","4.185",
"Bahrain","BHR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.144","1.059","0.963","1.094","1.129","1.258","1.202","1.186","1.18","1.145","1.176","1.187","1.169","1.101","1.052","1.046","1.027","1.03","1.077","1.13","1.207","1.2","1.182","1.147","1.166","1.193","1.192","1.198","1.22","1.786","1.548","1.339","1.303",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.17","14.81","12.72","13.83","10.83","11.46","9.76","7.65","7.45","7.238","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","14.433","14.52","14.02","16.18","13.8","12","12.7","9.8","10","9.933","12.563","11.579","10.089","9.503",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","18.511","19.451","20.289","21.066","21.838","22.699","23.596","24.554","25.483","26.489","27.432","28.416","29.293","30.213","31.11","28.98","23.41","24.07","27.31","27.58","28.01","27.49","27.52","27.69","25.41","20.53","18.4","15.69","15.87","14.9","12.66","11.827",
"Belarus","BLR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","3.1","8.5","12.8","17.7","24.4","17.1","14","12.8","12.169","11.519","10.832","10.149","9.436","8.742","8.059","7.404","6.732","6.1","6.054","6.022","5.968","5.944","5.908","5.878","5.84","5.65","4.76","4.16","4.05","3.9","3.57","3.467",
"Belize","BLZ","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.643","9.659","9.78","11.1","12.48","13.82","12.68","14.31","12.84","10.808","9.07","10.04","10.363","10.601","10.91","9.39","8.51","8.18","8.335","8.424","8.435","8.38","8.35","8.24","7.58","7","6.6","7.899","9.05","10.619","10.16","8.672","8.219",
"Bermuda","BMU","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.934","3.032","3.051","3.08","2.665","2.375","2.08","2.122","2.299","2.439","2.622","2.603","2.653","2.615","2.597","2.574","2.612","2.6","2.97","2.604","2.25","2.07","2.44","2.02","3.11","3.5","3.65","3.52","3.68","7.9","5.09","3.552","4.059",
"Brazil","BRA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.254","6.42","6.03","6.577","7.09","8.03","9","10.15","11.13","10.894","10.65","10.64","11.17","10.07","10.55","9.69","9.28","8.27","9.42","8.426","7.58","7.25","7.07","6.76","8.54","11.58","12.79","12.33","11.94","13.7","13.16","9.23","7.776",
"Barbados","BRB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.318","22.94","24.54","22.98","19.66","14.71","14.61","12.4","10.61","9.35","9.85","10.32","11","9.57","9.08","8.73","7.41","8.12","10.02","10.69","11.19","11.59","11.55","12.17","9.8","8.25","8.62","8.32","8.41","9.743","9.479","8.501","7.955",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.792","4.889","4.985","5.081","5.174","5.273","5.371","5.465","5.554","5.643","5.734","5.826","5.92","6.015","6.106","6.198","6.293","6.393","6.483","6.569","6.66","6.759","6.86","7.683","8.505","9.32","8.7","6.6","7.41","4.91","4.452","4.463",
"Bhutan","BTN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.382","1.385","1.39","1.391","1.393","1.395","1.397","1.4","1.4","1.65","1.9","1.85","1.8","2.49","3.1","3.13","3.7","3.831","3.96","3.32","3.23","2.05","2.87","2.63","2.45","2.747","3.048","3.35","2.72","5.03","4.8","5.95","6.037",
"Botswana","BWA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.82","16.35","18.772","21.2","21.393","21.59","20.976","20.86","18.182","15.88","18.54","21.308","23.8","21.739","19.865","17.78","16.901","16.18","16.17","17.86","18.039","17.803","18.059","18.397","18.878","19.336","19.702","19.618","20.09","21.02","23.11","23.62","23.607",
"Central African Republic","CAF","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73","5.859","5.926","5.953","5.877","5.82","5.746","5.72","5.719","5.675","5.713","5.745","5.766","5.704","5.684","5.623","5.584","5.537","5.644","5.759","5.732","5.682","5.72","5.833","6.011","6.061","6.108","6.02","6.079","6.66","6.812","6.341","6.256",
"Canada","CAN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.32","11.2","11.38","10.4","9.49","9.62","9.1","8.28","7.58","6.83","7.22","7.66","7.57","7.19","6.76","6.48","6.16","6.28","8.46","8.18","7.64","7.39","7.14","7.02","6.95","7.04","6.43","5.84","5.69","9.66","7.53","5.28","5.418",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.52667237746523","10.1368542568215","11.3952042262289","11.2442296860213","10.7203465633113","10.0804362924237","9.2129476935659","9.01896674124502","10.4177955397768","12.4122026945086","13.2345834018288","13.7599155395559","13.0049796734437","12.9263424821816","12.0617678832545","10.1049076368076","7.81158468029455","6.60814660135662","8.48773484172855","9.89989575629486","9.78929913456397","9.9797135661767","10.0509610213511","8.86501580522353","7.81910913483646","6.49025773596491","5.29796790558414","4.31746094616826","3.78153133878797","4.37009587653034","4.48544006439085","4.00703037961522","4.03026940983741",
"Switzerland","CHE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82","2.34","3.55","3.58","3.09","3.68","4.13","3.57","3.05","2.66","2.49","2.92","4.12","4.32","4.44","3.99","3.64","3.35","4.11","4.81","4.41","4.49","4.75","4.83","4.8","4.92","4.8","4.71","4.39","4.82","5.1","4.3","3.838",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.681","6.121","7.073","7.251","6.999","6.928","6.72","6.316","5.949","5.391","5.082","5.351","5.678","5.876","5.806","5.511","5.209","5.277","6.622","6.969","7.206","8.01","8.557","8.354","7.973","7.522","6.949","6.415","6.267","6.718","6.727","6.033","5.937",
"Chile","CHL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.23","4.35","4.49","5.87","4.7","7.41","7.14","7.31","11.16","10.49","10.39","10.17","9.77","10.16","9.34","9.02","8.43","9.29","11.31","8.41","7.32","6.64","6.2","6.65","6.49","6.73","6.95","7.21","7.27","10.94","9.28","8.25","9.071",
"China","CHN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37","2.37","2.69","2.9","3","3.12","3.23","3.24","3.25","3.26","3.8","4.24","4.58","4.49","4.52","4.43","4.35","4.59","4.72","4.53","4.55","4.58","4.6","4.63","4.65","4.56","4.47","4.31","4.56","5","4.55","4.98","4.967",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.564","6.7","5.88","5.074","4.1","4.019","3.92","4.1","4.458","4.948","5.369","5.726","6.119","6.128","6.193","6.103","6.388","6.435","6.601","6.558","7.199","7.22","4.25","3.206","2.537","1.9","3.27","2.831","2.4","2.636","2.713","2.489","2.429",
"Cameroon","CMR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.348","9.452","9.597","9.203","8.807","8.06","7.829","7.649","7.556","7.516","7.46","6.715","5.898","5.058","4.4","3.727","3.06","3.373","3.735","4.11","3.996","3.84","3.687","3.53","3.507","3.522","3.583","3.632","3.665","3.994","4.145","3.779","3.696",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.371","3.513","3.624","3.555","3.388","3.216","3.246","3.283","3.333","3.356","3.366","3.265","3.098","2.987","2.95","3.179","3.412","3.638","3.906","4.122","4.34","4.49","4.469","4.427","4.435","4.556","4.675","4.703","4.67","5.489","5.508","4.685","4.499",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.98","19.984","20.07","20.403","20.351","20.136","19.944","19.962","20.252","19.913","19.912","19.629","19.908","19.925","19.8","19.516","19.928","19.995","19.851","19.199","19.368","19.444","19.883","19.709","20.275","20.715","21.212","21.275","20.808","22.667","22.622","20.477","19.858",
"Colombia","COL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.12","9.44","7.8","8.25","8.72","11.81","12.14","15","20.06","20.52","15.04","14.48","13.22","13.72","11.06","11.089","11.2","11.27","12.07","11.15","10.29","9.96","9.25","8.8","8.57","8.92","9.09","9.36","10.28","15.98","13.9","10.55","9.414",
"Comoros","COM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.943","4.543","4.609","4.602","4.764","4.912","4.589","4.663","4.554","4.34","4.307","4.294","4.562","4.57","4.583","4.595","4.662","4.655","4.666","4.599","4.624","4.657","4.665","4.764","4.865","4.937","4.91","4.857","4.944","5.776","5.86","5.745","5.695",
"Cabo Verde","CPV","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.749","13.61","13.393","12.915","12.838","12.777","13.001","13.056","13.068","12.989","13.278","13.452","13.752","13.524","13.481","13.376","13.24","13.252","13.52","10.67","10.967","11.145","11.395","11.715","11.954","12.087","12.24","12.17","12.147","14.588","14.091","12.44","12.066",
"Costa Rica","CRI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.37","3.93","3.95","4.05","5.18","6.16","5.68","5.33","5.9","5.08","6.05","6.4","6.65","6.44","6.75","5.93","4.56","4.93","7.82","7.17","9.52","9.11","8.22","8.5","8.42","8.09","7.73","9.01","10.81","16.43","15.14","11.32","8.518",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.804020119429","12.285158645742","12.1298692981861","11.8049189893287","11.0125067296309","10.9051786453419","10.6397396814074","10.4032724649228","10.0886793811466","9.65044100060392","9.27999825716979","9.34778819101341","9.45760706086954","8.74547939941598","8.5639092754174","7.81570550317312","7.52554060228557","7.35112708389746","8.39032366262106","8.30673559457127","8.48112202298172","8.8481558813719","9.1959992155805","8.76132868544013","8.46555488897215","8.55268224407615","7.86805829438119","7.15782022573769","6.80086660120618","8.35040543198105","8.04841797955293","7.06719247597651","6.63630934013128",
"Cuba","CUB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.321","8.793","9.283","8.812","8.27","7.61","7.1","6.23","6.26","5.45","4.08","3.31","2.33","1.85","1.95","1.91","1.79","1.58","1.67","2.5","3.18","3.46","3.29","2.7","2.4","2","1.7","1.7","1.2","1.4","1.388","1.254","1.177",
"Curacao","CUW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2.09","2.7","2.7","2.6","3.1","3.4","3.3","5.53","4.77","4.04","3.34","4.15","4.77","5.48","4.59","3.95","3.76","5.59","6.36","7.94","12.1","16.13","16.28","15.03","13.01","11.16","8.5","7.15","7.76","7.51","6.78","6.43",
"Czechia","CZE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27","2.6","4.32","4.3","4.02","3.89","4.79","6.45","8.7","8.76","8.13","7.28","7.78","8.3","7.93","7.14","5.32","4.39","6.66","7.28","6.71","6.98","6.95","6.11","5.05","3.95","2.89","2.25","2.02","2.55","2.8","2.22","2.56",
"Germany","DEU","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.32","6.32","7.68","8.73","8.16","8.82","9.86","9.79","8.85","7.92","7.77","8.48","9.78","10.73","11.17","10.25","8.66","7.52","7.74","6.97","5.82","5.38","5.23","4.98","4.62","4.12","3.75","3.38","3.14","3.86","3.64","3.14","3.006",
"Djibouti","DJI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.481","27.274","28.08","27.957","28.217","28.011","27.99","27.743","27.307","27.176","27.063","27.036","26.876","26.812","26.815","26.707","26.562","26.391","26.578","26.624","26.526","26.324","26.266","26.273","26.105","25.972","26.06","26.218","26.307","27.848","27.963","26.666","26.281",
"Dominica","DMA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","9.03","10.72","8.04","6.99","6.84","5.4","5.04","5.14","4.48","4.16","4.27","5.4","5.2","4.83","3.9","3.8","3.68","6.41","7.75","7.77","7.8","7.38","6.93","6.28","5.99","5.83","5.13","5.02","5.64","5.04","4.43","4.832",
"Dominican Republic","DOM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.904","6.693","6.323","6.282","6.444","6.491","6.32","6.298","6.305","6.43","7.26","6.78","6.94","6.3","6.59","5.65","5.16","4.76","5.47","5.21","6.09","6.72","7.35","6.72","7.61","7.28","5.83","5.86","6.18","6.13","7.7","5.504","5.606",
"Algeria","DZA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","24.38","26.23","27.74","31.84","28.32","25.43","26.856","28.542","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.21","11.21","10.2","12","12.145","12.275","14.036","13.729","12.491","12.25",
